Quadro,min_val,max_val
1.png,4024572416.0,6443947520.0
2.png,4035591168.0,6584758272.0
3.png,4315447808.0,6670062080.0
4.png,4395637760.0,6715073024.0
5.png,4366364160.0,6694316032.0
6.png,4328689664.0,6784417792.0
7.png,4372598784.0,6769373184.0
8.png,4372598784.0,6769373184.0
9.png,4241306624.0,6768385024.0
10.png,4256093696.0,6271811072.0
11.png,4296933376.0,6189580288.0
12.png,3951629312.0,6254287872.0
13.png,4296933376.0,6189580288.0
14.png,4196232704.0,6276829696.0
15.png,3431001600.0,6477669376.0
16.png,3431001600.0,6477669376.0
17.png,3076456704.0,6750945280.0
18.png,3062676480.0,6680110592.0
19.png,3268473344.0,7184512000.0
20.png,3378480896.0,7263099904.0
21.png,3511653120.0,7364420608.0
22.png,3511653120.0,7364420608.0
23.png,3557530368.0,7525874688.0
24.png,3106709248.0,6622903808.0
25.png,2119537408.0,7142444032.0
26.png,3190921728.0,7712675328.0
27.png,3230668288.0,7599570944.0
28.png,3180908800.0,7636719616.0
29.png,3192339968.0,7648165888.0
30.png,2466869504.0,7365918720.0
31.png,3192339968.0,7648165888.0
32.png,2804152064.0,7483887616.0
33.png,2119537408.0,7142444032.0
34.png,2119537408.0,7142444032.0
35.png,2119537408.0,7142444032.0
36.png,1968960256.0,6954137600.0
37.png,1979281408.0,6951057408.0
38.png,1898131968.0,6964157440.0
39.png,1979281408.0,6951057408.0
40.png,1869699584.0,6940400640.0
41.png,2048812544.0,6978746368.0
42.png,2059161088.0,6980623360.0
43.png,2037426560.0,6970050560.0
44.png,2018664448.0,7001014272.0
45.png,2030753024.0,7013442048.0
46.png,2039779584.0,7014068736.0
47.png,2040099328.0,7016192512.0
48.png,1800330496.0,6961330688.0
49.png,2069931520.0,6856713216.0
50.png,1800330496.0,6961330688.0
51.png,1857387776.0,6994676736.0
52.png,1800330496.0,6961330688.0
53.png,2069931520.0,6856713216.0
54.png,2318389760.0,6693414400.0
55.png,2435416576.0,6634070016.0
56.png,2941985536.0,6654000128.0
57.png,3345734400.0,7119907840.0
58.png,3561095936.0,7283271680.0
59.png,3561095936.0,7283271680.0
60.png,3596753408.0,7294364160.0
61.png,3603811840.0,7300754432.0
62.png,3586633216.0,7295973376.0
100.png,3484782080.0,6973725696.0
101.png,3426558976.0,6619302912.0
102.png,3436042752.0,6579430400.0
103.png,3456197120.0,6635722240.0
104.png,3492846080.0,6662042624.0
105.png,3476412928.0,6661275648.0
106.png,3495753728.0,6665479680.0
107.png,3492846080.0,6662042624.0
108.png,3745716992.0,6865438720.0
109.png,3745716992.0,6865438720.0
110.png,3903588352.0,7010488320.0
111.png,3892348928.0,7056967680.0
112.png,3901062656.0,7004736512.0
113.png,3870828544.0,7134319616.0
114.png,3745651712.0,7243392000.0
115.png,3227809280.0,7349267456.0
116.png,3211411456.0,7387380736.0
117.png,3212456448.0,7375288320.0
118.png,3089317888.0,7252785152.0
119.png,3227809280.0,7349267456.0
120.png,3425675008.0,7345912832.0
121.png,3425675008.0,7345912832.0
122.png,3435216896.0,6657083392.0
123.png,3030044416.0,7181904384.0
124.png,3446865408.0,7002837504.0
125.png,3186915584.0,7303142912.0
126.png,3287913472.0,7330088448.0
127.png,3433032704.0,6689326080.0
128.png,3449722880.0,7341414912.0
129.png,3377739264.0,7344422912.0
130.png,3435216896.0,6657083392.0
131.png,3553692160.0,7290261504.0
132.png,3484782080.0,6973725696.0
133.png,3426558976.0,6619302912.0
