Quadro,min_val,max_val
100.png,-355131040.0,549624192.0
101.png,-360165184.0,572393472.0
102.png,-349541632.0,606740352.0
103.png,-347934304.0,599275584.0
104.png,-348449824.0,604859712.0
105.png,-345157376.0,560537152.0
106.png,-346870368.0,569557952.0
107.png,-346870368.0,569557952.0
108.png,-334961984.0,543952064.0
109.png,-280228224.0,513772672.0
110.png,-303078496.0,414483616.0
111.png,-264411024.0,749503744.0
112.png,-303078496.0,414483616.0
113.png,-265251664.0,660779776.0
114.png,-268488160.0,795440896.0
115.png,-268488160.0,795440896.0
116.png,-340926144.0,730783936.0
117.png,-370585056.0,733364224.0
118.png,-340280288.0,800446592.0
119.png,-352975872.0,805476736.0
120.png,-367006496.0,819277824.0
121.png,-367006496.0,819277824.0
122.png,-220281776.0,740555584.0
123.png,-396078752.0,730030336.0
124.png,-211766656.0,885744064.0
125.png,-225140640.0,889150400.0
126.png,-226692880.0,904785472.0
127.png,-226120528.0,811544000.0
128.png,-225611392.0,917784064.0
129.png,-219157792.0,887655680.0
130.png,-225611392.0,917784064.0
131.png,-220754144.0,889910912.0
132.png,-211766656.0,885744064.0
133.png,-211766656.0,885744064.0
134.png,-211766656.0,885744064.0
135.png,-216041152.0,1008317952.0
136.png,-214271968.0,1003217216.0
137.png,-215012544.0,1021536832.0
138.png,-214271968.0,1003217216.0
139.png,-213755760.0,1036137216.0
140.png,-213518960.0,1001481088.0
141.png,-216383520.0,977481472.0
142.png,-216521408.0,972073664.0
143.png,-215669648.0,952855104.0
144.png,-213033024.0,924409536.0
145.png,-215552736.0,952970752.0
146.png,-215245008.0,991749504.0
147.png,-215886992.0,1020090304.0
148.png,-212913312.0,850053120.0
149.png,-215886992.0,1020090304.0
150.png,-214491968.0,1049814912.0
151.png,-215886992.0,1020090304.0
152.png,-212913312.0,850053120.0
153.png,-216181232.0,902451264.0
154.png,-215134128.0,943634176.0
155.png,-212431920.0,937132416.0
156.png,-213249040.0,762592448.0
157.png,-293097536.0,762754304.0
158.png,-293097536.0,762754304.0
159.png,-327980992.0,768795584.0
160.png,-329648640.0,780976960.0
161.png,-331168032.0,788742976.0
162.png,-329835680.0,790208576.0
163.png,-331270432.0,790584192.0
164.png,-364490176.0,700364608.0
165.png,-331270432.0,790584192.0
166.png,-364490176.0,700364608.0
167.png,-363505856.0,756888576.0
168.png,-352479840.0,682240000.0
169.png,-367896448.0,751173056.0
170.png,-351667008.0,706901440.0
171.png,-365577088.0,739816256.0
172.png,-367896448.0,751173056.0
173.png,-385799168.0,803680192.0
174.png,-385799168.0,803680192.0
175.png,-376831872.0,817108864.0
176.png,-340473440.0,725122368.0
177.png,-378819264.0,760485632.0
178.png,-235045648.0,701745920.0
179.png,-218990480.0,833432000.0
180.png,-222200336.0,1034589120.0
181.png,-221020464.0,1028614272.0
182.png,-223006480.0,1032191040.0
183.png,-218539712.0,1028942336.0
184.png,-222200336.0,1034589120.0
185.png,-215986400.0,1008317952.0
186.png,-215986400.0,1008317952.0
187.png,-219487936.0,849067584.0
188.png,-217203664.0,1011985728.0
189.png,-214753296.0,973545600.0
190.png,-217141072.0,1069245760.0
191.png,-219123008.0,1077153536.0
192.png,-218699872.0,830346240.0
193.png,-216749056.0,986765888.0
194.png,-217793216.0,1039893824.0
195.png,-219487936.0,849067584.0
63.png,-211051696.0,946813888.0
64.png,-212230832.0,861380800.0
65.png,-211165040.0,868035584.0
66.png,-211165040.0,868035584.0
67.png,-210152656.0,832808128.0
68.png,-206047232.0,804168832.0
69.png,-362006656.0,718373248.0
70.png,-381623904.0,730055424.0
71.png,-370342400.0,743818688.0
72.png,-350903744.0,770981824.0
73.png,-311624064.0,791379136.0
74.png,-301709280.0,795480384.0
75.png,-294421440.0,797590464.0
76.png,-294421440.0,797590464.0
77.png,-291792352.0,800828224.0
78.png,-291685216.0,797500672.0
79.png,-291792352.0,800828224.0
80.png,-292501536.0,803012416.0
81.png,-292501536.0,803012416.0
82.png,-296291040.0,793851008.0
83.png,-324984128.0,726610048.0
84.png,-322572544.0,869029376.0
85.png,-364920832.0,947312448.0
86.png,-368618624.0,944997632.0
87.png,-357472384.0,937763392.0
88.png,-349341824.0,880984064.0
89.png,-354544928.0,595406656.0
90.png,-389736480.0,476044800.0
91.png,-380332896.0,427016128.0
92.png,-394251328.0,425817568.0
93.png,-406402048.0,425964416.0
94.png,-406402048.0,425964416.0
95.png,-389777504.0,427288224.0
96.png,-333036032.0,432854304.0
97.png,-333036032.0,432854304.0
98.png,-343483360.0,429864160.0
99.png,-349945504.0,427179264.0
