Quadro,min_val,max_val
100.png,757064384.0,2364063232.0
101.png,766385280.0,2300976128.0
102.png,766493248.0,2353255424.0
103.png,802001472.0,2370605568.0
104.png,781203776.0,2362918912.0
105.png,782638080.0,2366968320.0
106.png,787203392.0,2368758784.0
107.png,787203392.0,2368758784.0
108.png,786692160.0,2388878336.0
109.png,784313856.0,2418386688.0
110.png,794324864.0,2405844992.0
111.png,576321088.0,2359601152.0
112.png,794324864.0,2405844992.0
113.png,807727232.0,2357170432.0
114.png,410402912.0,2348591616.0
115.png,410402912.0,2348591616.0
116.png,635196544.0,2551410176.0
117.png,634538944.0,2505989120.0
118.png,696308672.0,3189623296.0
119.png,703178816.0,3318504192.0
120.png,694804544.0,3448729600.0
121.png,694804544.0,3448729600.0
122.png,503166208.0,3691938560.0
123.png,616889408.0,2493842176.0
124.png,632308800.0,2810083328.0
125.png,248071200.0,3677078528.0
126.png,312520928.0,3460587520.0
127.png,353948320.0,3621523456.0
128.png,355098432.0,3308664832.0
129.png,682715520.0,3159808256.0
130.png,355098432.0,3308664832.0
131.png,576624000.0,3347145472.0
132.png,632308800.0,2810083328.0
133.png,632308800.0,2810083328.0
134.png,632308800.0,2810083328.0
135.png,605726400.0,2618820096.0
136.png,604822464.0,2599417856.0
137.png,603877248.0,2666606336.0
138.png,604822464.0,2599417856.0
139.png,606155520.0,2674762496.0
140.png,599169216.0,2593926400.0
141.png,594298816.0,2603936256.0
142.png,595721856.0,2602712832.0
143.png,495219008.0,2605086720.0
144.png,550816000.0,2621983744.0
145.png,522640800.0,2620894720.0
146.png,485866912.0,2619583744.0
147.png,472619328.0,2774415104.0
148.png,550090048.0,2519559424.0
149.png,472619328.0,2774415104.0
150.png,495771104.0,2705823488.0
151.png,472619328.0,2774415104.0
152.png,550090048.0,2519559424.0
153.png,391467680.0,2304978688.0
154.png,256763264.0,2215008768.0
155.png,117492952.0,2511406336.0
156.png,321037120.0,2744952576.0
157.png,428899616.0,2948119808.0
158.png,428899616.0,2948119808.0
159.png,417828832.0,2966138368.0
160.png,486937536.0,2975551488.0
161.png,495344480.0,2970803200.0
162.png,502329696.0,2965821696.0
163.png,502707264.0,2681993216.0
164.png,634118016.0,2555538176.0
165.png,502707264.0,2681993216.0
166.png,634118016.0,2555538176.0
167.png,557203904.0,2567352576.0
168.png,640869568.0,2488650496.0
169.png,652321024.0,2452004096.0
170.png,654278272.0,2422167552.0
171.png,652445760.0,2450394880.0
172.png,652321024.0,2452004096.0
173.png,685020608.0,2531392256.0
174.png,685020608.0,2531392256.0
175.png,725730560.0,2607509760.0
176.png,631414272.0,2745133312.0
177.png,696101952.0,2719587072.0
178.png,540309696.0,2838352384.0
179.png,290021760.0,3181901312.0
180.png,163427872.0,3261133056.0
181.png,207540736.0,3265240064.0
182.png,184888768.0,3237511680.0
183.png,113681400.0,3091417088.0
184.png,163427872.0,3261133056.0
185.png,100633976.0,3078606592.0
186.png,100633976.0,3078606592.0
187.png,309345792.0,2501045760.0
188.png,142178208.0,3090692608.0
189.png,169323648.0,2663318528.0
190.png,52605160.0,3115212544.0
191.png,0.0,3101157888.0
192.png,347729184.0,2509626368.0
193.png,140570736.0,3066480384.0
194.png,46899168.0,3086453760.0
195.png,309345792.0,2501045760.0
63.png,566644864.0,2222355456.0
64.png,416680416.0,2153972992.0
65.png,346128224.0,2150803968.0
66.png,346128224.0,2150803968.0
67.png,312779840.0,2318466048.0
68.png,283691264.0,2557431040.0
69.png,461908768.0,2626488832.0
70.png,431330080.0,2629145088.0
71.png,374664960.0,2633211648.0
72.png,323506624.0,2629542912.0
73.png,305484832.0,2623208192.0
74.png,302969216.0,2632252416.0
75.png,309153440.0,2631167488.0
76.png,309153440.0,2631167488.0
77.png,308402752.0,2650562560.0
78.png,310531008.0,2717828352.0
79.png,308402752.0,2650562560.0
80.png,302548576.0,2479354880.0
81.png,302548576.0,2479354880.0
82.png,301570944.0,2360067840.0
83.png,351670368.0,2195833344.0
84.png,442724224.0,2160918272.0
85.png,517399264.0,2255042816.0
86.png,570373568.0,2518322176.0
87.png,422030528.0,2365888512.0
88.png,397954592.0,2344758784.0
89.png,780879296.0,2448981760.0
90.png,783735616.0,2623671040.0
91.png,804820032.0,2682886656.0
92.png,812206080.0,2694883584.0
93.png,809159872.0,2696503808.0
94.png,809159872.0,2696503808.0
95.png,757432320.0,2656665344.0
96.png,740468672.0,2425974784.0
97.png,740468672.0,2425974784.0
98.png,786124160.0,2355216384.0
99.png,777054976.0,2473107200.0
