Quadro,min_val,max_val
100.png,-0.7019599080085754,0.6945671439170837
101.png,-0.700256884098053,0.6901047825813293
102.png,-0.7002870440483093,0.7196620106697083
103.png,-0.6983820796012878,0.7089633941650391
104.png,-0.6979514360427856,0.7156670689582825
105.png,-0.6888941526412964,0.6971862316131592
106.png,-0.6941532492637634,0.6868717074394226
107.png,-0.6941532492637634,0.6868717074394226
108.png,-0.6795379519462585,0.7017900943756104
109.png,-0.595414400100708,0.6845837831497192
110.png,-0.6319425702095032,0.6797124147415161
111.png,-0.5679978728294373,0.763576328754425
112.png,-0.6319425702095032,0.6797124147415161
113.png,-0.5754061937332153,0.6754541993141174
114.png,-0.5710570216178894,0.7963666915893555
115.png,-0.5710570216178894,0.7963666915893555
116.png,-0.49053066968917847,0.692305862903595
117.png,-0.5305886268615723,0.6945042610168457
118.png,-0.4753088057041168,0.7004650831222534
119.png,-0.4833203852176666,0.6939321756362915
120.png,-0.4962247312068939,0.7015790343284607
121.png,-0.4962247312068939,0.7015790343284607
122.png,-0.3167203664779663,0.7447637319564819
123.png,-0.5562402009963989,0.7106530666351318
124.png,-0.3336966037750244,0.7338918447494507
125.png,-0.3697201907634735,0.8777855038642883
126.png,-0.332516610622406,0.851289689540863
127.png,-0.41791921854019165,0.8265424966812134
128.png,-0.34023064374923706,0.8345202803611755
129.png,-0.3368729054927826,0.7276638746261597
130.png,-0.34023064374923706,0.8345202803611755
131.png,-0.336071640253067,0.7545287013053894
132.png,-0.3336966037750244,0.7338918447494507
133.png,-0.3336966037750244,0.7338918447494507
134.png,-0.3336966037750244,0.7338918447494507
135.png,-0.33324378728866577,0.7425253391265869
136.png,-0.3345964550971985,0.7265576124191284
137.png,-0.3366517126560211,0.7537294626235962
138.png,-0.3345964550971985,0.7265576124191284
139.png,-0.3348681926727295,0.7671171426773071
140.png,-0.33259543776512146,0.7532528638839722
141.png,-0.3334559202194214,0.7255322933197021
142.png,-0.3365779221057892,0.7155693173408508
143.png,-0.3343494236469269,0.8201349973678589
144.png,-0.3341778516769409,0.7961043119430542
145.png,-0.3366553783416748,0.8075748085975647
146.png,-0.33609336614608765,0.8219807744026184
147.png,-0.3365676701068878,0.8276039958000183
148.png,-0.42636212706565857,0.780989408493042
149.png,-0.3365676701068878,0.8276039958000183
150.png,-0.33423280715942383,0.8276875019073486
151.png,-0.3365676701068878,0.8276039958000183
152.png,-0.42636212706565857,0.780989408493042
153.png,-0.3967687487602234,0.8536387085914612
154.png,-0.3667616546154022,0.8995345234870911
155.png,-0.33127427101135254,0.9502793550491333
156.png,-0.32453009486198425,0.8450043797492981
157.png,-0.41359350085258484,0.7961639165878296
158.png,-0.41359350085258484,0.7961639165878296
159.png,-0.4364457428455353,0.7932649254798889
160.png,-0.41619449853897095,0.762763500213623
161.png,-0.4132945239543915,0.7609405517578125
162.png,-0.4103426933288574,0.7586617469787598
163.png,-0.41041094064712524,0.7584396600723267
164.png,-0.41710278391838074,0.7072104811668396
165.png,-0.41041094064712524,0.7584396600723267
166.png,-0.41710278391838074,0.7072104811668396
167.png,-0.414104163646698,0.7312659025192261
168.png,-0.4216119647026062,0.7053558230400085
169.png,-0.46451061964035034,0.6967159509658813
170.png,-0.4525187611579895,0.694091260433197
171.png,-0.45918983221054077,0.6971732378005981
172.png,-0.46451061964035034,0.6967159509658813
173.png,-0.46756526827812195,0.7011772990226746
174.png,-0.46756526827812195,0.7011772990226746
175.png,-0.47757989168167114,0.6973477005958557
176.png,-0.4843831956386566,0.6984681487083435
177.png,-0.5098646879196167,0.6877270340919495
178.png,-0.37065595388412476,0.7383662462234497
179.png,-0.3275124430656433,0.8644897937774658
180.png,-0.33119329810142517,0.9308344721794128
181.png,-0.3347083330154419,0.9114453792572021
182.png,-0.33440667390823364,0.9214285016059875
183.png,-0.3359326720237732,0.9481127262115479
184.png,-0.33119329810142517,0.9308344721794128
185.png,-0.33190280199050903,0.9533169865608215
186.png,-0.33190280199050903,0.9533169865608215
187.png,-0.33099573850631714,0.8503920435905457
188.png,-0.33613041043281555,0.9343847036361694
